accident_index,accident_severity
201501CW10036,3
201501CW10037,3
201501CW10038,3
201501CW10039,3
201501CW10040,3
201501CW10041,3
201501CW10042,3
201501CW10044,3
201501CW10048,3
201501CW10049,3
201501CW10050,3
201501CW10051,3
201501CW10052,3
201501CW10053,3
201501CW10054,2
201501CW10055,3
201501CW10056,3
201501CW10057,3
201501CW10058,3
201501CW10059,3
201501CW10060,3
201501CW10061,3
201501CW10063,3
201501CW10065,3
201501CW10069,3
201501CW10071,3
201501CW10072,3
201501CW10073,3
201501CW10074,3
201501CW10075,3
201501CW10078,2
201501CW10082,3
201501CW10084,2
201501CW10085,3
201501CW10088,3
201501CW10089,3
201501CW10090,3
201501CW10091,3
201501CW10092,3
201501CW10093,3
201501CW10094,3
201501CW10095,3
201501CW10097,3
201501CW10098,2
201501CW10099,3
201501CW10101,3
201501CW10102,3
201501CW10103,3
201501CW10104,3
201501CW10105,3
201501CW10107,3
201501CW10108,3
201501CW10109,3
201501CW10110,3
201501CW10111,3
201501CW10112,3
201501CW10113,3
201501CW10114,3
201501CW10116,3
201501CW10118,3
201501CW10120,3
201501CW10123,3
201501CW10124,3
201501CW10125,3
201501CW10126,3
201501CW10127,2
201501CW10128,3
201501CW10130,3
201501CW10131,3
201501CW10132,2
201501CW10133,3
201501CW10134,3
201501CW10136,3
201501CW10137,3
201501CW10138,3
201501CW10139,3
201501CW10140,3
201501CW10141,3
201501CW10142,2
201501CW10143,3
201501CW10144,3
201501CW10146,3
201501CW10148,3
201501CW10149,3
201501CW10150,3
201501CW10151,3
201501CW10152,3
201501CW10153,3
201501CW10154,3
201501CW10155,3
201501CW10156,3
201501CW10157,3
201501CW10158,3
201501CW10159,3
201501CW10160,3
201501CW10161,3
201501CW10163,3
201501CW10164,3
201501CW10165,3
201501CW10166,3
201501CW10167,3
201501CW10169,3
201501CW10170,3
201501CW10172,3
201501CW10173,3
201501CW10174,3
201501CW10175,3
201501CW10176,3
201501CW10179,3
201501CW10180,2
201501CW10183,3
201501CW10184,2
201501CW10186,3
201501CW10188,3
201501CW10189,3
201501CW10192,2
201501CW10193,3
201501CW10194,3
201501CW10195,3
201501CW10197,3
201501CW10199,3
201501CW10200,3
201501CW10201,2
201501CW10203,3
201501CW10205,3
201501CW10206,3
201501CW10208,3
201501CW10209,3
201501CW10211,3
201501CW10213,3
201501CW10214,3
201501CW10215,2
201501CW10216,3
201501CW10220,3
201501CW10221,3
201501CW10223,3
201501CW10224,2
201501CW10225,2
201501CW10226,3
201501CW10227,3
201501CW10228,3
201501CW10229,3
201501CW10230,3
201501CW10231,3
201501CW10232,3
201501CW10233,3
201501CW10235,3
201501CW10236,3
201501CW10237,3
201501CW10238,3
201501CW10239,3
201501CW10240,3
201501CW10241,3
201501CW10243,3
201501CW10244,3
201501CW10246,2
201501CW10247,2
201501CW10248,3
201501CW10250,3
201501CW10251,3
201501CW10252,3
201501CW10253,3
201501CW10254,3
201501CW10255,3
201501CW10256,3
201501CW10257,3
201501CW10258,3
201501CW10259,3
201501CW10260,2
201501CW10261,3
201501CW10262,3
201501CW10263,3
201501CW10264,3
201501CW10265,3
201501CW10266,3
201501CW10269,3
201501CW10270,3
201501CW10271,3
201501CW10272,3
201501CW10273,3
201501CW10275,3
201501CW10276,3
201501CW10277,3
201501CW10278,3
201501CW10279,3
201501CW10281,3
201501CW10282,3
201501CW10283,3
201501CW10284,3
201501CW10285,2
201501CW10286,2
201501CW10287,3
201501CW10288,3
201501CW10289,3
201501CW10290,3
201501CW10291,3
201501CW10292,3
201501CW10293,3
201501CW10294,3
201501CW10295,3
201501CW10296,3
201501CW10297,3
201501CW10299,3
201501CW10300,3
201501CW10303,2
201501CW10304,3
201501CW10305,3
201501CW10306,3
201501CW10307,3
201501CW10308,3
201501CW10309,3
201501CW10311,3
201501CW10312,3
201501CW10313,3
201501CW10314,3
201501CW10315,3
201501CW10316,3
201501CW10317,3
201501CW10318,3
201501CW10319,3
201501CW10320,3
201501CW10321,3
201501CW10322,3
201501CW10323,3
201501CW10324,3
201501CW10325,3
201501CW10326,3
201501CW10327,3
201501CW10328,3
201501CW10329,3
201501CW10331,3
201501CW10332,3
201501CW10333,3
201501CW10335,3
201501CW10336,3
201501CW10337,3
201501CW10339,3
201501CW10340,3
201501CW10342,3
201501CW10344,3
201501CW10346,3
201501CW10348,3
201501CW10349,3
201501CW10350,3
201501CW10351,3
201501CW10353,3
201501CW10354,3
201501CW10355,3
201501CW10356,3
201501CW10357,3
201501CW10358,3
201501CW10359,3
201501CW10360,3
201501CW10362,3
201501CW10363,3
201501CW10364,3
201501CW10365,3
201501CW10366,3
201501CW10367,2
201501CW10368,3
201501CW10369,3
201501CW10372,3
201501CW10373,3
201501CW10374,2
201501CW10375,3
201501CW10376,3
201501CW10377,3
201501CW10378,3
201501CW10379,3
201501CW10381,3
201501CW10382,3
201501CW10383,3
201501CW10384,3
201501CW10385,3
201501CW10386,3
201501CW10387,3
201501CW10388,3
201501CW10389,3
201501CW10390,3
201501CW10391,3
201501CW10394,3
201501CW10395,3
201501CW10396,3
201501CW10397,3
201501CW10398,3
201501CW10400,2
201501CW10401,3
201501CW10402,3
201501CW10403,3
201501CW10404,3
201501CW10405,3
201501CW10406,3
201501CW10408,3
201501CW10410,3
201501CW10411,3
201501CW10412,3
201501CW10414,3
201501CW10415,3
201501CW10417,3
201501CW10418,3
201501CW10419,3
201501CW10420,2
201501CW10421,3
201501CW10422,3
201501CW10423,3
